time_hr,solid_pressurizer,bubble_phase,pressure_psia,pzr_level_pct,pzr_mass_lbm,pzr_total_enthalpy_btu,closure_phase_fraction
2.822243,1,NONE,364.839600,100.000000,110527.200000,10120390.000000,0.000000
2.825021,1,NONE,365.521600,100.000000,110527.200000,10120390.000000,0.000000
2.827799,1,NONE,366.123700,100.000000,110527.200000,10120390.000000,0.000000
2.830577,1,NONE,366.802100,100.000000,110527.200000,10120390.000000,0.000000
2.833355,1,NONE,367.403200,100.000000,110527.200000,10120390.000000,0.000000
2.836133,1,NONE,367.933900,100.000000,110527.200000,10120390.000000,0.000000
2.838910,1,NONE,368.404200,100.000000,110527.200000,10120390.000000,0.000000
2.841688,1,NONE,368.786500,100.000000,110527.200000,10120390.000000,0.000000
2.844466,1,NONE,369.041200,100.000000,110527.200000,10120390.000000,0.000000
2.847244,1,NONE,369.183400,100.000000,110527.200000,10120390.000000,0.000000
2.850022,1,NONE,369.198800,100.000000,110527.200000,10120390.000000,0.000000
2.852799,1,NONE,369.101900,100.000000,110527.200000,10120390.000000,0.000000
2.855577,1,NONE,368.905900,100.000000,110527.200000,10120390.000000,0.000000
2.858355,1,NONE,368.622100,100.000000,110527.200000,10120390.000000,0.000000
2.861133,1,NONE,368.267000,100.000000,110527.200000,10120390.000000,0.000000
2.863911,1,NONE,367.864600,100.000000,110527.200000,10120390.000000,0.000000
2.866688,1,NONE,367.435900,100.000000,110527.200000,10120390.000000,0.000000
2.869466,1,NONE,367.004800,100.000000,110527.200000,10120390.000000,0.000000
2.872244,1,NONE,366.592100,100.000000,110527.200000,10120390.000000,0.000000
2.875022,1,NONE,366.216600,100.000000,110527.200000,10120390.000000,0.000000
2.877800,1,NONE,365.623200,100.000000,110527.200000,10120390.000000,0.000000
2.880578,1,NONE,365.097000,100.000000,110527.200000,10120390.000000,0.000000
2.883355,1,NONE,364.431800,100.000000,110527.200000,10120390.000000,0.000000
2.886133,1,NONE,363.847300,100.000000,110527.200000,10120390.000000,0.000000
2.888911,1,NONE,363.193800,100.000000,110527.200000,10120390.000000,0.000000
2.891689,1,NONE,362.618000,100.000000,110527.200000,10120390.000000,0.000000
2.894467,1,NONE,362.112800,100.000000,110527.200000,10120390.000000,0.000000
2.897244,1,NONE,361.672500,100.000000,110527.200000,10120390.000000,0.000000
2.900022,1,NONE,361.324000,100.000000,110527.200000,10120390.000000,0.000000
2.902800,1,NONE,361.100400,100.000000,110527.200000,10120390.000000,0.000000
2.905578,1,NONE,360.986600,100.000000,110527.200000,10120390.000000,0.000000
2.908356,1,NONE,360.995500,100.000000,110527.200000,10120390.000000,0.000000
2.911134,1,NONE,361.112700,100.000000,110527.200000,10120390.000000,0.000000
2.913911,1,NONE,361.324800,100.000000,110527.200000,10120390.000000,0.000000
2.916689,1,NONE,361.619800,100.000000,110527.200000,10120390.000000,0.000000
2.919467,1,NONE,361.980300,100.000000,110527.200000,10120390.000000,0.000000
2.922245,1,NONE,362.383000,100.000000,110527.200000,10120390.000000,0.000000
2.925023,1,NONE,362.807400,100.000000,110527.200000,10120390.000000,0.000000
2.927800,1,NONE,363.230500,100.000000,110527.200000,10120390.000000,0.000000
2.930578,1,NONE,363.631900,100.000000,110527.200000,10120390.000000,0.000000
2.933356,1,NONE,363.994000,100.000000,110527.200000,10120390.000000,0.000000
2.936134,1,NONE,364.554300,100.000000,110527.200000,10120390.000000,0.000000
2.938912,1,NONE,365.047500,100.000000,110527.200000,10120390.000000,0.000000
2.941689,1,NONE,365.661600,100.000000,110527.200000,10120390.000000,0.000000
2.944467,1,NONE,366.196600,100.000000,110527.200000,10120390.000000,0.000000
2.947245,1,NONE,366.785200,100.000000,110527.200000,10120390.000000,0.000000
2.950023,1,NONE,367.401500,100.000000,110527.200000,10120390.000000,0.000000
2.952801,1,NONE,367.950200,100.000000,110527.200000,10120390.000000,0.000000
2.955579,1,NONE,368.427900,100.000000,110527.200000,10120390.000000,0.000000
2.958356,1,NONE,368.810100,100.000000,110527.200000,10120390.000000,0.000000
2.961134,1,NONE,369.077700,100.000000,110527.200000,10120390.000000,0.000000
2.963912,1,NONE,369.245600,100.000000,110527.200000,10120390.000000,0.000000
2.966690,1,NONE,369.303700,100.000000,110527.200000,10120390.000000,0.000000
2.969468,1,NONE,369.246900,100.000000,110527.200000,10120390.000000,0.000000
2.972245,1,NONE,369.088000,100.000000,110527.200000,10120390.000000,0.000000
