time_hr,pressure_psia,orifice75_count,orifice45_open,lineup_index,drain_policy,drain_letdown_gpm,drain_charging_gpm,drain_net_outflow_gpm
8.338669,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.341447,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.344225,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.347003,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.349781,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.352559,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.355337,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.358115,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.360893,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.363671,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.366449,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.369227,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.372005,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.374784,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.377562,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.380340,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.383118,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.385896,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.388674,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.391452,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.394230,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
