time_hr,pzr_mass_lbm,pzr_total_enthalpy_btu,liquid_occupancy_pct,pressure_psia,pzr_temp_f,net_pzr_heat_mw,charging_gpm,letdown_gpm,surge_gpm,net_cvcs_gpm,startup_hold_active,spray_active,spray_flow_gpm,heater_power_mw,last_failure_reason
0.280556,110527.200000,10120390.000000,100.000000,111.138300,119.976100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.283334,110527.200000,10120390.000000,100.000000,111.103200,119.975900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.286112,110527.200000,10120390.000000,100.000000,111.068200,119.975600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.288889,110527.200000,10120390.000000,100.000000,111.033100,119.975400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.291667,110527.200000,10120390.000000,100.000000,110.998100,119.975200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.294445,110527.200000,10120390.000000,100.000000,110.963100,119.974900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.297223,110527.200000,10120390.000000,100.000000,110.928000,119.974700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.300001,110527.200000,10120390.000000,100.000000,110.893000,119.974500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.302778,110527.200000,10120390.000000,100.000000,110.858000,119.974200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.305556,110527.200000,10120390.000000,100.000000,110.822900,119.974000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.308334,110527.200000,10120390.000000,100.000000,110.787900,119.973700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.311112,110527.200000,10120390.000000,100.000000,110.752900,119.973500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.313889,110527.200000,10120390.000000,100.000000,110.717800,119.973300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.316667,110527.200000,10120390.000000,100.000000,110.682800,119.973000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.319445,110527.200000,10120390.000000,100.000000,110.647800,119.972800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.322223,110527.200000,10120390.000000,100.000000,110.612700,119.972600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.325001,110527.200000,10120390.000000,100.000000,110.577700,119.972300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.327778,110527.200000,10120390.000000,100.000000,110.542600,119.972100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.330556,110527.200000,10120390.000000,100.000000,110.507600,119.971900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.333334,110527.200000,10120390.000000,100.000000,110.472600,119.971600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.336112,110527.200000,10120390.000000,100.000000,110.437500,119.971400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.338889,110527.200000,10120390.000000,100.000000,110.402500,119.971100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
