time_hr,pressure_psia,orifice75_count,orifice45_open,lineup_prev,lineup_curr,lineup_event,lineup_event_count,lineup_event_prev,lineup_event_new,lineup_event_trigger,lineup_event_reason,lineup_demand,drain_policy,drain_demand_gpm,drain_hydraulic_capacity_gpm,drain_letdown_saturated,drain_letdown_gpm,drain_expected_gpm,drain_charging_gpm,drain_net_outflow_gpm,drain_deltaP_psi,drain_density_lbm_ft3,drain_quality,d_achieved_gpm,d_capacity_gpm,d_deltaP_psi,d_density,d_quality,delta_cause
7.935863,384.222800,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.233100,75.000000,1,75.000000,75.000000,0.000000,75.000000,28.923370,51.935160,0.000534,0.000000,0.000000,0.598480,-0.006554,0.000008,NO_EFFECTIVE_DELTA
7.938640,384.773100,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.184300,75.000000,1,75.000000,75.000000,0.000000,75.000000,29.522800,51.928600,0.000543,0.000000,0.000000,0.599426,-0.006557,0.000009,NO_EFFECTIVE_DELTA
7.941418,385.374300,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.133800,75.000000,1,75.000000,75.000000,0.000000,75.000000,30.073120,51.922590,0.000570,0.000000,0.000000,0.550324,-0.006016,0.000027,NO_EFFECTIVE_DELTA
7.944195,385.926300,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.085000,75.000000,1,75.000000,75.000000,0.000000,75.000000,30.674320,51.916020,0.000579,0.000000,0.000000,0.601196,-0.006573,0.000009,NO_EFFECTIVE_DELTA
7.946973,386.529300,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,118.034400,75.000000,1,75.000000,75.000000,0.000000,75.000000,31.226260,51.909990,0.000606,0.000000,0.000000,0.551941,-0.006027,0.000028,NO_EFFECTIVE_DELTA
7.949750,387.082900,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.985600,75.000000,1,75.000000,75.000000,0.000000,75.000000,31.829280,51.903410,0.000615,0.000000,0.000000,0.603027,-0.006577,0.000009,NO_EFFECTIVE_DELTA
7.952528,387.687700,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.935100,75.000000,1,75.000000,75.000000,0.000000,75.000000,32.382900,51.897370,0.000643,0.000000,0.000000,0.553619,-0.006039,0.000028,NO_EFFECTIVE_DELTA
7.955306,388.293500,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.886200,75.000000,1,75.000000,75.000000,0.000000,75.000000,32.987730,51.890790,0.000652,0.000000,0.000000,0.604828,-0.006588,0.000009,NO_EFFECTIVE_DELTA
7.958083,388.849700,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.837300,75.000000,1,75.000000,75.000000,0.000000,75.000000,33.593510,51.884190,0.000662,0.000000,0.000000,0.605774,-0.006596,0.000009,NO_EFFECTIVE_DELTA
7.960861,389.457200,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.786800,75.000000,1,75.000000,75.000000,0.000000,75.000000,34.149660,51.878140,0.000690,0.000000,0.000000,0.556152,-0.006050,0.000028,NO_EFFECTIVE_DELTA
7.963638,390.065700,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.737900,75.000000,1,75.000000,75.000000,0.000000,75.000000,34.757200,51.871540,0.000700,0.000000,0.000000,0.607544,-0.006603,0.000010,NO_EFFECTIVE_DELTA
7.966416,390.624400,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.689000,75.000000,1,75.000000,75.000000,0.000000,75.000000,35.365720,51.864920,0.000710,0.000000,0.000000,0.608521,-0.006615,0.000010,NO_EFFECTIVE_DELTA
7.969193,391.234700,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.638400,75.000000,1,75.000000,75.000000,0.000000,75.000000,35.924380,51.858860,0.000738,0.000000,0.000000,0.558655,-0.006058,0.000029,NO_EFFECTIVE_DELTA
7.971971,391.795100,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.589600,75.000000,1,75.000000,75.000000,0.000000,75.000000,36.534730,51.852240,0.000748,0.000000,0.000000,0.610352,-0.006626,0.000010,NO_EFFECTIVE_DELTA
7.974749,392.407300,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.539000,75.000000,1,75.000000,75.000000,0.000000,75.000000,37.095090,51.846160,0.000777,0.000000,0.000000,0.560364,-0.006073,0.000029,NO_EFFECTIVE_DELTA
7.977526,393.020400,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.490100,75.000000,1,75.000000,75.000000,0.000000,75.000000,37.707280,51.839530,0.000788,0.000000,0.000000,0.612183,-0.006634,0.000010,NO_EFFECTIVE_DELTA
7.980304,393.583300,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.441200,75.000000,1,75.000000,75.000000,0.000000,75.000000,38.320400,51.832890,0.000798,0.000000,0.000000,0.613129,-0.006638,0.000011,NO_EFFECTIVE_DELTA
7.983081,394.198300,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.390600,75.000000,1,75.000000,75.000000,0.000000,75.000000,38.883330,51.826810,0.000828,0.000000,0.000000,0.562927,-0.006088,0.000029,NO_EFFECTIVE_DELTA
7.985859,394.762900,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.341700,75.000000,1,75.000000,75.000000,0.000000,75.000000,39.498320,51.820160,0.000838,0.000000,0.000000,0.614990,-0.006649,0.000011,NO_EFFECTIVE_DELTA
7.988636,395.379800,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.291000,75.000000,1,75.000000,75.000000,0.000000,75.000000,40.062930,51.814060,0.000868,0.000000,0.000000,0.564606,-0.006096,0.000030,NO_EFFECTIVE_DELTA
7.991414,395.997600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.242100,75.000000,1,75.000000,75.000000,0.000000,75.000000,40.679750,51.807400,0.000879,0.000000,0.000000,0.616821,-0.006657,0.000011,NO_EFFECTIVE_DELTA
7.994192,396.564700,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.193200,75.000000,1,75.000000,75.000000,0.000000,75.000000,41.297550,51.800740,0.000890,0.000000,0.000000,0.617798,-0.006664,0.000011,NO_EFFECTIVE_DELTA
7.996969,397.184300,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.142500,75.000000,1,75.000000,75.000000,0.000000,75.000000,41.864690,51.794630,0.000921,0.000000,0.000000,0.567139,-0.006111,0.000030,NO_EFFECTIVE_DELTA
7.999747,397.804900,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.093600,75.000000,1,75.000000,75.000000,0.000000,75.000000,42.484310,51.787960,0.000932,0.000000,0.000000,0.619629,-0.006672,0.000011,NO_EFFECTIVE_DELTA
8.002524,398.374700,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,117.044600,75.000000,1,75.000000,75.000000,0.000000,75.000000,43.104920,51.781270,0.000944,0.000000,0.000000,0.620606,-0.006683,0.000011,NO_EFFECTIVE_DELTA
8.005302,398.997200,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.994000,75.000000,1,75.000000,75.000000,0.000000,75.000000,43.674680,51.775150,0.000974,0.000000,0.000000,0.569763,-0.006123,0.000031,NO_EFFECTIVE_DELTA
8.008080,399.620600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.945000,75.000000,1,75.000000,75.000000,0.000000,75.000000,44.297150,51.768460,0.000986,0.000000,0.000000,0.622467,-0.006691,0.000012,NO_EFFECTIVE_DELTA
8.010859,400.193000,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.896000,75.000000,1,75.000000,75.000000,0.000000,75.000000,44.920590,51.761760,0.000998,0.000000,0.000000,0.623444,-0.006699,0.000012,NO_EFFECTIVE_DELTA
8.013637,400.818300,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.845400,75.000000,1,75.000000,75.000000,0.000000,75.000000,45.492950,51.755620,0.001029,0.000000,0.000000,0.572357,-0.006142,0.000031,NO_EFFECTIVE_DELTA
8.016415,401.444500,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.796400,75.000000,1,75.000000,75.000000,0.000000,75.000000,46.118260,51.748920,0.001042,0.000000,0.000000,0.625305,-0.006702,0.000012,NO_EFFECTIVE_DELTA
8.019193,402.019500,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.747400,75.000000,1,75.000000,75.000000,0.000000,75.000000,46.744540,51.742200,0.001054,0.000000,0.000000,0.626282,-0.006714,0.000013,NO_EFFECTIVE_DELTA
8.021971,402.647700,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.696700,75.000000,1,75.000000,75.000000,0.000000,75.000000,47.319520,51.736050,0.001086,0.000000,0.000000,0.574982,-0.006153,0.000032,NO_EFFECTIVE_DELTA
8.024749,403.276900,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.647700,75.000000,1,75.000000,75.000000,0.000000,75.000000,47.947690,51.729320,0.001099,0.000000,0.000000,0.628174,-0.006725,0.000013,NO_EFFECTIVE_DELTA
8.027527,403.854500,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.598700,75.000000,1,75.000000,75.000000,0.000000,75.000000,48.576840,51.722600,0.001111,0.000000,0.000000,0.629150,-0.006725,0.000013,NO_EFFECTIVE_DELTA
8.030305,404.485500,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.548000,75.000000,1,75.000000,75.000000,0.000000,75.000000,49.154450,51.716430,0.001144,0.000000,0.000000,0.577606,-0.006172,0.000032,NO_EFFECTIVE_DELTA
8.033083,405.117500,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.499000,75.000000,1,75.000000,75.000000,0.000000,75.000000,49.785460,51.709690,0.001157,0.000000,0.000000,0.631012,-0.006737,0.000013,NO_EFFECTIVE_DELTA
8.035861,405.697800,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.449900,75.000000,1,75.000000,75.000000,0.000000,75.000000,50.417480,51.702950,0.001170,0.000000,0.000000,0.632019,-0.006744,0.000013,NO_EFFECTIVE_DELTA
8.038639,406.331700,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.399200,75.000000,1,75.000000,75.000000,0.000000,75.000000,50.997740,51.696760,0.001203,0.000000,0.000000,0.580261,-0.006187,0.000032,NO_EFFECTIVE_DELTA
8.041417,406.966600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.350200,75.000000,1,75.000000,75.000000,0.000000,75.000000,51.631650,51.690010,0.001216,0.000000,0.000000,0.633911,-0.006752,0.000014,NO_EFFECTIVE_DELTA
8.044195,407.602400,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.301100,75.000000,1,75.000000,75.000000,0.000000,75.000000,52.266540,51.683250,0.001230,0.000000,0.000000,0.634888,-0.006760,0.000014,NO_EFFECTIVE_DELTA
8.046973,408.186200,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.252100,75.000000,1,75.000000,75.000000,0.000000,75.000000,52.902400,51.676480,0.001244,0.000000,0.000000,0.635864,-0.006763,0.000014,NO_EFFECTIVE_DELTA
8.049751,408.824000,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.201300,75.000000,1,75.000000,75.000000,0.000000,75.000000,53.486240,51.670280,0.001277,0.000000,0.000000,0.583832,-0.006207,0.000033,NO_EFFECTIVE_DELTA
8.052529,409.462800,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.152300,75.000000,1,75.000000,75.000000,0.000000,75.000000,54.124020,51.663500,0.001291,0.000000,0.000000,0.637787,-0.006775,0.000014,NO_EFFECTIVE_DELTA
8.055307,410.049300,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.103200,75.000000,1,75.000000,75.000000,0.000000,75.000000,54.762820,51.656720,0.001305,0.000000,0.000000,0.638794,-0.006783,0.000014,NO_EFFECTIVE_DELTA
8.058085,410.690000,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.052400,75.000000,1,75.000000,75.000000,0.000000,75.000000,55.349270,51.650500,0.001339,0.000000,0.000000,0.586456,-0.006218,0.000034,NO_EFFECTIVE_DELTA
8.060863,411.331700,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,116.003400,75.000000,1,75.000000,75.000000,0.000000,75.000000,55.989990,51.643710,0.001354,0.000000,0.000000,0.640717,-0.006794,0.000015,NO_EFFECTIVE_DELTA
